"","year","state","agricultural_district","production_in_bushel","price_per_bushel"
"1",1990,"ARIZONA","CENTRAL",1331300,2.79
"2",1990,"ARIZONA","NORTHERN",10300,2.79
"3",1990,"ARIZONA","SOUTHEASTERN",107400,2.79
"4",1990,"ARIZONA","SOUTHWESTERN",126000,2.79
"5",1990,"CALIFORNIA","CENTRAL COAST",1339000,2.6199999
"6",1990,"CALIFORNIA","NORTHEAST",1450000,2.6199999
"7",1990,"CALIFORNIA","OTHER DISTRICTS, ALL COUNTIES",12000,2.6199999
"8",1990,"CALIFORNIA","SACRAMENTO VALLEY",1540000,2.6199999
"9",1990,"CALIFORNIA","SAN JOAQUIN VALLEY",6371000,2.6199999
"10",1990,"CALIFORNIA","SISKIYOU-SHASTA",2380000,2.6199999
"11",1990,"CALIFORNIA","SOUTHERN CALIFORNIA",248000,2.6199999
"12",1990,"COLORADO","EAST CENTRAL",450000,3.0599999
"13",1990,"COLORADO","NORTHEAST",2570000,3.0599999
"14",1990,"COLORADO","NORTHWEST AND MOUNTAIN",90000,3.0599999
"15",1990,"COLORADO","SAN LUIS VALLEY",8005000,3.0599999
"16",1990,"COLORADO","SOUTHEAST",6e+05,3.0599999
"17",1990,"COLORADO","SOUTHWEST",285000,3.0599999
"18",1990,"DELAWARE","CENTRAL",875000,1.89
"19",1990,"DELAWARE","NORTHERN",175000,1.89
"20",1990,"DELAWARE","SOUTHERN",840000,1.89
"21",1990,"IDAHO","EAST",31180000,2.6199999
"22",1990,"IDAHO","NORTH",8112000,2.6199999
"23",1990,"IDAHO","SOUTH CENTRAL",13260000,2.6199999
"24",1990,"IDAHO","SOUTHWEST",3608000,2.6199999
"25",1990,"KANSAS","CENTRAL",109300,1.6900001
"26",1990,"KANSAS","EAST CENTRAL",22400,1.6900001
"27",1990,"KANSAS","NORTH CENTRAL",44800,1.6900001
"28",1990,"KANSAS","NORTHEAST",8400,1.6900001
"29",1990,"KANSAS","NORTHWEST",126500,1.6900001
"30",1990,"KANSAS","SOUTH CENTRAL",110000,1.6900001
"31",1990,"KANSAS","SOUTHEAST",37600,1.6900001
"32",1990,"KANSAS","SOUTHWEST",240000,1.6900001
"33",1990,"KANSAS","WEST CENTRAL",225000,1.6900001
"34",1990,"KENTUCKY","MIDWESTERN",821450,2.1900001
"35",1990,"KENTUCKY","OTHER DISTRICTS, ALL COUNTIES",198550,2.1900001
"36",1990,"MARYLAND","LOWER EASTERN SHORE",1029000,1.97
"37",1990,"MARYLAND","NORTH CENTRAL",1379000,1.97
"38",1990,"MARYLAND","SOUTHERN",167000,1.97
"39",1990,"MARYLAND","UPPER EASTERN SHORE",1660000,1.97
"40",1990,"MARYLAND","WESTERN",49000,1.97
"41",1990,"MICHIGAN","CENTRAL",170000,1.6799999
"42",1990,"MICHIGAN","EAST CENTRAL",1350000,1.6799999
"43",1990,"MICHIGAN","NORTHEAST",215000,1.6799999
"44",1990,"MICHIGAN","NORTHWEST",48000,1.6799999
"45",1990,"MICHIGAN","SOUTH CENTRAL",155000,1.6799999
"46",1990,"MICHIGAN","SOUTHEAST",138000,1.6799999
"47",1990,"MICHIGAN","SOUTHWEST",75000,1.6799999
"48",1990,"MICHIGAN","UPPER PENINSULA",410000,1.6799999
"49",1990,"MICHIGAN","WEST CENTRAL",19000,1.6799999
"50",1990,"MINNESOTA","CENTRAL",837800,1.87
"51",1990,"MINNESOTA","EAST CENTRAL",69100,1.87
"52",1990,"MINNESOTA","NORTH CENTRAL",534200,1.87
"53",1990,"MINNESOTA","NORTHEAST",16800,1.87
"54",1990,"MINNESOTA","NORTHWEST",40763100,1.87
"55",1990,"MINNESOTA","SOUTH CENTRAL",34800,1.87
"56",1990,"MINNESOTA","SOUTHEAST",150300,1.87
"57",1990,"MINNESOTA","SOUTHWEST",64000,1.87
"58",1990,"MINNESOTA","WEST CENTRAL",7929900,1.87
"59",1990,"MONTANA","CENTRAL",9244000,2.3
"60",1990,"MONTANA","NORTH CENTRAL",32052000,2.3
"61",1990,"MONTANA","NORTHEAST",2551000,2.3
"62",1990,"MONTANA","NORTHWEST",3135000,2.3
"63",1990,"MONTANA","SOUTH CENTRAL",4729000,2.3
"64",1990,"MONTANA","SOUTHEAST",1110000,2.3
"65",1990,"MONTANA","SOUTHWEST",3759000,2.3
"66",1990,"NEBRASKA","CENTRAL",21500,2.21
"67",1990,"NEBRASKA","EAST",13500,2.21
"68",1990,"NEBRASKA","NORTH",49500,2.21
"69",1990,"NEBRASKA","NORTHEAST",188700,2.21
"70",1990,"NEBRASKA","NORTHWEST",420300,2.21
"71",1990,"NEBRASKA","SOUTH",17000,2.21
"72",1990,"NEBRASKA","SOUTHEAST",21500,2.21
"73",1990,"NEBRASKA","SOUTHWEST",148000,2.21
"74",1990,"NEVADA","NORTHEAST",95000,2.2
"75",1990,"NEVADA","NORTHWEST",530000,2.2
"76",1990,"NEVADA","SOUTH",50000,2.2
"77",1990,"NEW JERSEY","CENTRAL",133200,1.95
"78",1990,"NEW JERSEY","OTHER DISTRICTS, ALL COUNTIES",17100,1.95
"79",1990,"NEW JERSEY","SOUTH",221700,1.95
"80",1990,"NORTH CAROLINA","CENTRAL COASTAL",128000,2.03
"81",1990,"NORTH CAROLINA","CENTRAL PIEDMONT",455000,2.03
"82",1990,"NORTH CAROLINA","NORTHERN COASTAL",76000,2.03
"83",1990,"NORTH CAROLINA","NORTHERN MOUNTAIN",81000,2.03
"84",1990,"NORTH CAROLINA","NORTHERN PIEDMONT",227000,2.03
"85",1990,"NORTH CAROLINA","SOUTHERN COASTAL",84500,2.03
"86",1990,"NORTH CAROLINA","SOUTHERN PIEDMONT",516000,2.03
"87",1990,"NORTH CAROLINA","WESTERN MOUNTAIN",22500,2.03
"88",1990,"NORTH DAKOTA","CENTRAL",9490000,1.88
"89",1990,"NORTH DAKOTA","EAST CENTRAL",34700000,1.88
"90",1990,"NORTH DAKOTA","NORTH CENTRAL",17760000,1.88
"91",1990,"NORTH DAKOTA","NORTHEAST",38040000,1.88
"92",1990,"NORTH DAKOTA","NORTHWEST",11330000,1.88
"93",1990,"NORTH DAKOTA","SOUTH CENTRAL",1770000,1.88
"94",1990,"NORTH DAKOTA","SOUTHEAST",10750000,1.88
"95",1990,"NORTH DAKOTA","SOUTHWEST",2580000,1.88
"96",1990,"NORTH DAKOTA","WEST CENTRAL",3430000,1.88
"97",1990,"OKLAHOMA","CENTRAL",150000,1.92
"98",1990,"OKLAHOMA","NORTH CENTRAL",195000,1.92
"99",1990,"OKLAHOMA","NORTHEAST",28000,1.92
"100",1990,"OKLAHOMA","OTHER DISTRICTS, ALL COUNTIES",19000,1.92
"101",1990,"OKLAHOMA","PANHANDLE",245000,1.92
"102",1990,"OKLAHOMA","SOUTHWEST",24000,1.92
"103",1990,"OKLAHOMA","WEST CENTRAL",36000,1.92
"104",1990,"OREGON","NORTH CENTRAL",7e+05,2.3199999
"105",1990,"OREGON","NORTHEAST",2720000,2.3199999
"106",1990,"OREGON","NORTHWEST",672000,2.3199999
"107",1990,"OREGON","SOUTHEAST",4816000,2.3199999
"108",1990,"OREGON","SOUTHWEST",192000,2.3199999
"109",1990,"PENNSYLVANIA","CENTRAL",607400,2.1099999
"110",1990,"PENNSYLVANIA","EAST CENTRAL",172800,2.1099999
"111",1990,"PENNSYLVANIA","NORTH CENTRAL",57700,2.1099999
"112",1990,"PENNSYLVANIA","NORTHWESTERN",64400,2.1099999
"113",1990,"PENNSYLVANIA","SOUTH CENTRAL",1498400,2.1099999
"114",1990,"PENNSYLVANIA","SOUTHEASTERN",1385100,2.1099999
"115",1990,"PENNSYLVANIA","SOUTHWESTERN",171100,2.1099999
"116",1990,"PENNSYLVANIA","WEST CENTRAL",183100,2.1099999
"117",1990,"SOUTH CAROLINA","CENTRAL",64000,2.1900001
